"","year","CDC","AGI","state"
"1",NA,NA,NA,NA
"2","year","total in state","abortions(AGI)","AL"
"3","1945","","","AL"
"4","1946","","","AL"
"5","1947","","","AL"
"6","1948","","","AL"
"7","1949","","","AL"
"8","1950","","","AL"
"9","1951","","","AL"
"10","1952","","","AL"
"11","1953","","","AL"
"12","1954","","","AL"
"13","1955","","","AL"
"14","1956","","","AL"
"15","1957","","","AL"
"16","1958","","","AL"
"17","1959","","","AL"
"18","1960","","","AL"
"19","1961","","","AL"
"20","1962","","","AL"
"21","1963","","","AL"
"22","1964","","","AL"
"23","1965","","","AL"
"24","1966","","","AL"
"25","1967","","","AL"
"26","1968","","","AL"
"27","1969","","","AL"
"28","1970","","","AL"
"29","1971","","","AL"
"30","1972","1,156","","AL"
"31","1973","","4,630","AL"
"32","1974","3,392","5,080","AL"
"33","1975","2,747","6,020","AL"
"34","1976","7,278","8,350","AL"
"35","1977","11,042","11,680","AL"
"36","1978","13,260","15,120","AL"
"37","1979","15,449","17,590","AL"
"38","1980","17,920","20,780","AL"
"39","1981","13,485","19,840","AL"
"40","1982","16,081","19,930","AL"
"41","1983","17,147","","AL"
"42","1984","16,005","19,210","AL"
"43","1985","15,652","19,380","AL"
"44","1986","15,540","","AL"
"45","1987","14,642","19,630","AL"
"46","1988","14,746","18,220","AL"
"47","1989","14,311","","AL"
"48","1990","15,012","","AL"
"49","1991","14,097","17,400","AL"
"50","1992","13,358","17,450","AL"
"51","1993","14,494","","AL"
"52","1994","14,825","","AL"
"53","1995","14,221","14,580","AL"
"54","1996","13,826","15,150","AL"
"55","1997","13,063","","AL"
"56","1998","13,386","","AL"
"57","1999","13,273","(14,300)","AL"
"58","2000","13,553","13,830","AL"
"59","2001","13,382","","AL"
"60","2002","12,249","","AL"
"61","2003","10,979","","AL"
"62","2004","11,370","(11,300)","AL"
"63","2005","11,211","11,340","AL"
"64","2006","11,654","","AL"
"65","2007","11,267","11,270","AL"
"66","2008","11,268","11,270","AL"
"67","2009","10,882","","AL"
"68","2010","10,280","10,280","AL"
"69","2011","9,523","9,550","AL"
"70","2012","9,076","","AL"
"71","2013","8,485","8,420","AL"
"72","2014","8,080","8,020","AL"
"73","2015","5,899","","AL"
"74","2016","6,642","","AL"
"75","2017","6,063","","AL"
"76","2018","","","AL"
"77","year","abortions, reported(CDC/state)","abortions(AGI)","AL"
"78","year","total in state","abortions(AGI)","AL"
"79","year","total in state","abortions(AGI)","AK"
"80","1970","408","","AK"
"81","1971","1,145","","AK"
"82","1972","1,172","","AK"
"83","1973","1,165","1,150","AK"
"84","1974","1,025","1,160","AK"
"85","1975","1,248","1,620","AK"
"86","1976","1,213","1,660","AK"
"87","1977","1,074","2,630","AK"
"88","1978","669","2,600","AK"
"89","1979","1,890","1,890","AK"
"90","1980","1,890","1,890","AK"
"91","1981","1,880","1,880","AK"
"92","1982","1,930","1,930","AK"
"93","1983","1,930","","AK"
"94","1984","1,666","3,170","AK"
"95","1985","1,966","3,450","AK"
"96","1986","1,751","","AK"
"97","1987","1,785","2,560","AK"
"98","1988","1,463","2,390","AK"
"99","1989","1,527","","AK"
"100","1990","1,489","","AK"
"101","1991","1,718","2,400","AK"
"102","1992","1,783","2,370","AK"
"103","1993","1,644","","AK"
"104","1994","1,585","","AK"
"105","1995","1,897","1,990","AK"
"106","1996","2,139","2,040","AK"
"107","1997","1,632","","AK"
"108","1998","","","AK"
"109","1999","","(1,830)","AK"
"110","2000","","1,660","AK"
"111","2001","","","AK"
"112","2002","","","AK"
"113","2003","1,806","","AK"
"114","2004","1,937","(1,920)","AK"
"115","2005","1,956","1,880","AK"
"116","2006","1,923","","AK"
"117","2007","1,701","1,720","AK"
"118","2008","1,759","1,700","AK"
"119","2009","1,938","","AK"
"120","2010","1,716","1,930","AK"
"121","2011","1,627","1,820","AK"
"122","2012","1,632","","AK"
"123","2013","1,450","1,570","AK"
"124","2014","1,518","1,470","AK"
"125","2015","1,334","","AK"
"126","2016","1,260","","AK"
"127","2017","1,255","","AK"
"128","2018","","","AK"
"129","year","abortions, reported(CDC/state)","abortions(AGI)","AK"
"130","year","total in state","abortions(AGI)","AK"
"131","year","total in state","abortions(AGI)","AZ"
"132","1950","","","AZ"
"133","1951","","","AZ"
"134","1952","","","AZ"
"135","1953","","","AZ"
"136","1954","","","AZ"
"137","1955","","","AZ"
"138","1956","","","AZ"
"139","1957","","","AZ"
"140","1958","","","AZ"
"141","1959","","","AZ"
"142","1960","","","AZ"
"143","1961","","","AZ"
"144","1962","","","AZ"
"145","1963","","","AZ"
"146","1964","","","AZ"
"147","1965","","","AZ"
"148","1966","","","AZ"
"149","1967","","","AZ"
"150","1968","","","AZ"
"151","1969","","","AZ"
"152","1970","","","AZ"
"153","1971","","","AZ"
"154","1972","275","","AZ"
"155","1973","","2,770","AZ"
"156","1974","6,130","5,610","AZ"
"157","1975","5,482","6,730","AZ"
"158","1976","5,202","7,930","AZ"
"159","1977","6,130","9,600","AZ"
"160","1978","6,833","13,370","AZ"
"161","1979","7,811","14,500","AZ"
"162","1980","9,278","15,790","AZ"
"163","1981","10,573","16,500","AZ"
"164","1982","12,539","15,830","AZ"
