"","area_dest","both_1990","both_1995","both_2000","both_2005","both_2010","2015","male_1990","male_1995","male_2000","male_2005","male_2010","female_1990","female_1995","female_2000","female_2005","female_2010"
"1","Burundi","333 110","254 853","125 628","172 874","235 259","286 810_141 311_145 499","163 267","124 165","61 094","84 805","115 823","169 843","130 688","64 534","88 069","119 436"
"2","Comoros","14 079","13 939","13 799","13 209","12 618","12 555_6 071_6 484","6 717","6 614","6 511","6 286","6 060","7 362","7 325","7 288","6 923","6 558"
"3","Djibouti","122 221","99 774","100 507","92 091","101 575","112 351_59 081_53 270","64 242","52 476","52 920","51 315","53 295","57 979","47 298","47 587","40 776","48 280"
"4","Eritrea","11 848","12 400","12 952","14 314","15 676","15 941_8 833_7 108","6 228","6 542","6 856","7 729","8 603","5 620","5 858","6 096","6 585","7 073"
"5","Ethiopia","1 155 390","806 904","611 384","514 242","567 720","1 072 949_547 062_525 887","607 284","424 117","322 219","269 725","297 534","548 106","382 787","289 165","244 517","270 186"
"6","Kenya","297 292","618 745","699 139","756 894","926 959","1 084 357_541 644_542 713","160 852","322 189","348 594","391 310","459 343","136 440","296 556","350 545","365 584","467 616"
"7","Madagascar","23 917","21 177","23 541","26 058","28 905","32 075_18 270_13 805","13 348","11 901","13 276","14 744","16 410","10 569","9 276","10 265","11 314","12 495"
"8","Malawi","1 127 724","241 624","232 620","221 661","217 722","215 158_102 544_112 614","546 520","116 198","111 530","105 931","103 869","581 204","125 426","121 090","115 730","113 853"
"9","Mauritius","3 613","7 493","15 543","19 647","24 836","28 585_15 832_12 753","1 763","3 228","5 705","8 943","13 188","1 850","4 265","9 838","10 704","11 648"
"10","Mayotte","15 229","26 316","45 474","63 176","72 757","76 992_35 623_41 369","8 780","14 679","23 546","31 364","34 500","6 449","11 637","21 928","31 812","38 257"
"11","Mozambique","122 332","168 256","195 702","204 830","214 612","222 928_107 955_114 973","66 060","91 210","103 175","102 500","104 676","56 272","77 046","92 527","102 330","109 936"
"12","Réunion","57 210","77 159","100 678","115 076","123 029","127 209_64 537_62 672","30 724","40 710","52 264","59 196","62 707","26 486","36 449","48 414","55 880","60 322"
"13","Rwanda","159 869","233 200","347 076","432 797","436 787","441 525_220 017_221 508","80 690","117 931","175 685","217 027","218 425","79 179","115 269","171 391","215 770","218 362"
"14","Seychelles","3 721","5 148","6 574","8 997","11 420","12 791_8 954_3 837","2 204","3 021","3 837","5 820","7 804","1 517","2 127","2 737","3 177","3 616"
"15","Somalia","478 294","19 527","20 087","20 670","23 995","25 291_13 760_11 531","244 201","10 282","10 622","11 047","12 914","234 093","9 245","9 465","9 623","11 081"
"16","South Sudan","..","..","..","..","257 905","824 122_420 949_403 173","..","..","..","..","132 693","..","..","..","..","125 212"
"17","Uganda","558 307","634 620","634 703","652 968","529 160","749 471_374 438_375 033","290 084","321 360","314 325","322 421","261 646","268 223","313 260","320 378","330 547","267 514"
"18","United Republic of Tanzania","574 025","1 106 043","928 180","770 846","308 600","261 222_130 404_130 818","283 390","547 089","470 962","486 774","153 984","290 635","558 954","457 218","284 072","154 616"
"19","Zambia","279 029","244 338","321 167","252 749","149 637","127 915_64 512_63 403","142 807","125 329","163 620","128 553","75 775","136 222","119 009","157 547","124 196","73 862"
"20","Zimbabwe","626 821","431 226","410 041","392 693","397 891","398 866_227 379_171 487","352 028","246 012","233 843","223 970","226 967","274 793","185 214","176 198","168 723","170 924"
"21","Angola","33 517","39 813","46 108","61 329","76 549","106 845_51 461_55 384","18 142","20 755","23 367","30 240","37 113","15 375","19 058","22 741","31 089","39 436"
"22","Cameroon","265 344","246 864","228 383","258 737","289 091","381 984_186 605_195 379","145 527","135 079","124 630","142 397","160 164","119 817","111 785","103 753","116 340","128 927"
"23","Central African Republic","67 234","99 712","123 529","94 449","93 466","81 598_43 163_38 435","35 686","52 975","65 636","50 236","49 743","31 548","46 737","57 893","44 213","43 723"
"24","Chad","74 342","89 584","104 825","352 062","416 924","516 968_238 140_278 828","40 133","48 298","56 463","159 715","186 773","34 209","41 286","48 362","192 347","230 151"
"25","Congo","129 597","191 635","305 002","315 238","419 649","392 996_215 274_177 722","64 418","95 822","152 666","171 420","228 180","65 179","95 813","152 336","143 818","191 469"
"26","Democratic Republic of the Congo","754 194","1 816 963","744 387","622 869","588 950","545 694_264 445_281 249","363 117","901 379","365 092","302 290","284 244","391 077","915 584","379 295","320 579","304 706"
"27","Equatorial Guinea","2 740","3 629","4 517","6 588","8 658","10 825_5 980_4 845","1 465","1 930","2 394","3 564","4 734","1 275","1 699","2 123","3 024","3 924"
"28","Gabon","127 980","152 972","195 571","214 123","243 992","268 384_153 144_115 240","73 053","87 305","111 616","122 279","139 458","54 927","65 667","83 955","91 844","104 534"
"29","Sao Tome and Principe","5 582","4 936","4 365","3 433","2 700","2 394_1 197_1 197","2 953","2 548","2 212","1 727","1 352","2 629","2 388","2 153","1 706","1 348"
"30","Algeria","273 954","262 032","250 110","247 537","244 964","242 391_132 930_109 461","150 234","143 696","137 158","135 748","134 339","123 720","118 336","112 952","111 789","110 625"
"31","Egypt","173 708","166 955","173 452","274 001","295 714","491 643_265 054_226 589","91 928","88 545","92 205","158 277","166 071","81 780","78 410","81 247","115 724","129 643"
"32","Libya","457 075","508 041","567 436","625 212","683 998","771 146_549 153_221 993","242 707","300 906","368 950","445 597","489 737","214 368","207 135","198 486","179 615","194 261"
"33","Morocco","54 895","50 360","53 034","54 379","70 909","88 511_44 390_44 121","29 024","26 264","27 233","27 543","35 738","25 871","24 096","25 801","26 836","35 171"
"34","Sudan","1 402 896","1 053 396","801 883","541 994","578 363","503 477_254 530_248 947","696 385","525 701","403 048","275 915","294 782","706 511","527 695","398 835","266 079","283 581"
"35","Tunisia","37 984","37 867","36 446","35 040","43 172","56 701_29 351_27 350","18 900","19 045","18 523","18 000","22 236","19 084","18 822","17 923","17 040","20 936"
"36","Western Sahara","2 688","2 989","3 289","3 891","4 493","5 179_3 059_2 120","1 465","1 651","1 837","2 224","2 612","1 223","1 338","1 452","1 667","1 881"
"37","Botswana","27 510","40 168","57 064","88 829","120 912","160 644_87 873_72 771","16 614","23 517","32 891","49 695","66 692","10 896","16 651","24 173","39 134","54 220"
"38","Lesotho","8 240","7 204","6 167","6 290","6 414","6 572_3 558_3 014","4 318","3 827","3 335","3 402","3 469","3 922","3 377","2 832","2 888","2 945"
"39","Namibia","120 641","115 372","134 403","106 274","102 405","93 888_50 687_43 201","63 748","61 310","72 509","57 034","55 054","56 893","54 062","61 894","49 240","47 351"
"40","South Africa","1 163 883","1 003 807","1 001 825","1 210 936","1 943 099","3 142 511_1 882 276_1 260 235","717 227","611 083","600 032","712 219","1 135 886","446 656","392 724","401 793","498 717","807 213"
"41","Swaziland","72 085","25 031","22 855","27 097","30 476","31 579_16 348_15 231","38 992","14 457","13 047","14 721","15 856","33 093","10 574","9 808","12 376","14 620"
"42","Benin","76 212","104 971","133 730","171 499","209 267","245 399_137 662_107 737","40 092","55 858","71 624","93 882","116 139","36 120","49 113","62 106","77 617","93 128"
"43","Burkina Faso","349 657","434 848","520 039","596 972","673 904","704 676_335 328_369 348","167 836","209 117","250 399","285 542","320 684","181 821","225 731","269 640","311 430","353 220"
"44","Cabo Verde","8 931","9 979","11 027","12 700","14 373","14 924_7 547_7 377","4 429","5 091","5 753","6 523","7 293","4 502","4 888","5 274","6 177","7 080"
"45","Côte d'Ivoire","1 816 426","2 076 394","1 994 135","2 010 824","2 095 185","2 175 399_1 204 616_970 783","1 011 749","1 150 710","1 104 600","1 113 590","1 160 366","804 677","925 684","889 535","897 234","934 819"
"46","Gambia","118 123","150 890","182 514","181 905","185 763","192 540_101 501_91 039","66 306","82 048","97 138","96 230","98 086","51 817","68 842","85 376","85 675","87 677"
"47","Ghana","164 851","252 879","191 601","304 436","337 017","399 471_217 444_182 027","83 030","127 423","97 279","159 363","181 558","81 821","125 456","94 322","145 073","155 459"
"48","Guinea","403 621","774 505","560 075","229 611","205 111","228 413_112 583_115 830","201 260","386 537","279 108","111 738","100 953","202 361","387 968","280 967","117 873","104 158"
"49","Guinea-Bissau","15 368","27 961","20 450","20 736","21 061","22 333_10 826_11 507","7 689","13 833","10 155","10 298","10 307","7 679","14 128","10 295","10 438","10 754"
"50","Liberia","94 964","208 563","151 868","87 188","99 129","113 779_64 879_48 900","53 924","111 647","82 129","51 183","56 885","41 040","96 916","69 739","36 005","42 244"
"51","Mali","160 736","176 187","189 475","256 797","336 607","363 145_186 111_177 034","82 049","90 871","97 752","132 244","172 879","78 687","85 316","91 723","124 553","163 728"
"52","Mauritania","111 650","89 562","57 366","58 119","84 679","138 162_80 230_57 932","57 569","47 015","31 163","32 588","48 605","54 081","42 547","26 203","25 531","36 074"
"53","Niger","115 464","145 999","122 260","124 461","126 464","189 255_89 731_99 524","55 222","69 751","58 192","59 170","60 033","60 242","76 248","64 068","65 291","66 431"
"54","Nigeria","456 621","462 999","487 882","648 019","920 118","1 199 115_657 887_541 228","256 166","258 091","270 211","357 751","506 367","200 455","204 908","217 671","290 268","413 751"
"55","Saint Helena","383","394","405","487","569","604_335_269","222","218","215","263","312","161","176","190","224","257"
"56","Senegal","270 410","287 654","231 901","238 298","256 092","263 242_139 689_123 553","138 840","147 165","121 492","124 854","135 879","131 570","140 489","110 409","113 444","120 213"
"57","Sierra Leone","222 242","105 374","98 241","149 615","97 452","91 213_49 962_41 251","123 053","59 683","54 639","79 638","53 239","99 189","45 691","43 602","69 977","44 213"
"58","Togo","84 844","101 583","137 891","203 379","255 262","276 844_139 298_137 546","42 903","50 727","69 081","102 877","129 280","41 941","50 856","68 810","100 502","125 982"
"59","Kazakhstan","3 619 200","3 245 250","2 871 300","3 102 962","3 334 623","3 546 778_1 758 182_1 788 596","1 666 164","1 494 009","1 321 855","1 473 441","1 625 026","1 953 036","1 751 241","1 549 445","1 629 521","1 709 597"
"60","Kyrgyzstan","623 083","510 296","389 558","312 897","231 511","204 382_82 616_121 766","260 416","213 277","162 815","129 544","94 348","362 667","297 019","226 743","183 353","137 163"
