"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,542,540,2,923,850,33,"AA",1141,"N619AA","JFK","MIA",160,1089,5,40,2013-01-01 05:00:00
"2",2013,1,1,544,545,-1,1004,1022,-18,"B6",725,"N804JB","JFK","BQN",183,1576,5,45,2013-01-01 05:00:00
"3",2013,1,1,557,600,-3,838,846,-8,"B6",79,"N593JB","JFK","MCO",140,944,6,0,2013-01-01 06:00:00
"4",2013,1,1,558,600,-2,849,851,-2,"B6",49,"N793JB","JFK","PBI",149,1028,6,0,2013-01-01 06:00:00
"5",2013,1,1,558,600,-2,853,856,-3,"B6",71,"N657JB","JFK","TPA",158,1005,6,0,2013-01-01 06:00:00
"6",2013,1,1,558,600,-2,924,917,7,"UA",194,"N29129","JFK","LAX",345,2475,6,0,2013-01-01 06:00:00
"7",2013,1,1,559,559,0,702,706,-4,"B6",1806,"N708JB","JFK","BOS",44,187,5,59,2013-01-01 05:00:00
"8",2013,1,1,606,610,-4,837,845,-8,"DL",1743,"N3739P","JFK","ATL",128,760,6,10,2013-01-01 06:00:00
"9",2013,1,1,611,600,11,945,931,14,"UA",303,"N532UA","JFK","SFO",366,2586,6,0,2013-01-01 06:00:00
"10",2013,1,1,613,610,3,925,921,4,"B6",135,"N635JB","JFK","RSW",175,1074,6,10,2013-01-01 06:00:00
"11",2013,1,1,615,615,0,1039,1100,-21,"B6",709,"N794JB","JFK","SJU",182,1598,6,15,2013-01-01 06:00:00
"12",2013,1,1,627,630,-3,1018,1018,0,"US",27,"N535UW","JFK","PHX",330,2153,6,30,2013-01-01 06:00:00
"13",2013,1,1,628,630,-2,1137,1140,-3,"AA",413,"N3BAAA","JFK","SJU",192,1598,6,30,2013-01-01 06:00:00
"14",2013,1,1,639,640,-1,739,749,-10,"B6",1002,"N805JB","JFK","BOS",41,187,6,40,2013-01-01 06:00:00
"15",2013,1,1,645,647,-2,815,810,5,"B6",102,"N796JB","JFK","BUF",63,301,6,47,2013-01-01 06:00:00
"16",2013,1,1,651,655,-4,936,942,-6,"B6",203,"N558JB","JFK","LAS",323,2248,6,55,2013-01-01 06:00:00
"17",2013,1,1,652,655,-3,932,921,11,"B6",117,"N178JB","JFK","MSY",191,1182,6,55,2013-01-01 06:00:00
"18",2013,1,1,655,655,0,1021,1030,-9,"DL",1415,"N3763D","JFK","SLC",294,1990,6,55,2013-01-01 06:00:00
"19",2013,1,1,655,700,-5,1037,1045,-8,"DL",1865,"N705TW","JFK","SFO",362,2586,7,0,2013-01-01 07:00:00
"20",2013,1,1,656,659,-3,949,959,-10,"AA",1815,"N5FMAA","JFK","MCO",142,944,6,59,2013-01-01 06:00:00
"21",2013,1,1,658,700,-2,1027,1025,2,"VX",399,"N627VA","JFK","LAX",361,2475,7,0,2013-01-01 07:00:00
"22",2013,1,1,659,700,-1,1008,1007,1,"B6",981,"N646JB","JFK","FLL",156,1069,7,0,2013-01-01 07:00:00
"23",2013,1,1,702,700,2,1058,1014,44,"B6",671,"N779JB","JFK","LAX",381,2475,7,0,2013-01-01 07:00:00
"24",2013,1,1,711,715,-4,1151,1206,-15,"B6",715,"N651JB","JFK","SJU",190,1598,7,15,2013-01-01 07:00:00
"25",2013,1,1,712,715,-3,1023,1035,-12,"AA",825,"N3ETAA","JFK","FLL",159,1069,7,15,2013-01-01 07:00:00
"26",2013,1,1,719,721,-2,1017,1012,5,"B6",987,"N562JB","JFK","MCO",147,944,7,21,2013-01-01 07:00:00
"27",2013,1,1,729,730,-1,1049,1115,-26,"VX",11,"N635VA","JFK","SFO",356,2586,7,30,2013-01-01 07:00:00
"28",2013,1,1,732,735,-3,857,858,-1,"B6",20,"N304JB","JFK","ROC",64,264,7,35,2013-01-01 07:00:00
"29",2013,1,1,733,736,-3,854,850,4,"B6",44,"N552JB","JFK","SYR",54,209,7,36,2013-01-01 07:00:00
"30",2013,1,1,734,737,-3,1047,1113,-26,"B6",643,"N625JB","JFK","SFO",350,2586,7,37,2013-01-01 07:00:00
"31",2013,1,1,743,730,13,1107,1100,7,"AA",33,"N338AA","JFK","LAX",358,2475,7,30,2013-01-01 07:00:00
"32",2013,1,1,743,749,-6,1043,1054,-11,"B6",341,"N624JB","JFK","SRQ",164,1041,7,49,2013-01-01 07:00:00
"33",2013,1,1,743,730,13,1059,1056,3,"DL",495,"N3760C","JFK","SEA",349,2422,7,30,2013-01-01 07:00:00
"34",2013,1,1,745,745,0,1135,1125,10,"AA",59,"N336AA","JFK","SFO",378,2586,7,45,2013-01-01 07:00:00
"35",2013,1,1,759,800,-1,1057,1127,-30,"DL",1843,"N955DL","JFK","MIA",158,1089,8,0,2013-01-01 08:00:00
"36",2013,1,1,800,810,-10,949,955,-6,"MQ",4406,"N828MQ","JFK","RDU",80,427,8,10,2013-01-01 08:00:00
"37",2013,1,1,803,810,-7,903,925,-22,"AA",1838,"N3GEAA","JFK","BOS",38,187,8,10,2013-01-01 08:00:00
"38",2013,1,1,803,800,3,1132,1144,-12,"UA",223,"N510UA","JFK","SFO",369,2586,8,0,2013-01-01 08:00:00
"39",2013,1,1,804,810,-6,1103,1116,-13,"DL",1959,"N947DL","JFK","MCO",147,944,8,10,2013-01-01 08:00:00
"40",2013,1,1,805,805,0,1015,1005,10,"B6",219,"N273JB","JFK","CLT",98,541,8,5,2013-01-01 08:00:00
"41",2013,1,1,805,800,5,1118,1106,12,"B6",3,"N570JB","JFK","FLL",165,1069,8,0,2013-01-01 08:00:00
"42",2013,1,1,807,810,-3,1043,1043,0,"DL",269,"N308DE","JFK","ATL",126,760,8,10,2013-01-01 08:00:00
"43",2013,1,1,810,810,0,1048,1037,11,"9E",3538,"N915XJ","JFK","MSP",189,1029,8,10,2013-01-01 08:00:00
"44",2013,1,1,817,810,7,1005,948,17,"B6",1051,"N228JB","JFK","PIT",86,340,8,10,2013-01-01 08:00:00
"45",2013,1,1,820,820,0,1254,1310,-16,"B6",717,"N527JB","JFK","SJU",190,1598,8,20,2013-01-01 08:00:00
"46",2013,1,1,820,830,-10,940,954,-14,"DL",27,"N324US","JFK","BOS",36,187,8,30,2013-01-01 08:00:00
"47",2013,1,1,820,820,0,1249,1329,-40,"DL",301,"N900PC","JFK","SJU",182,1598,8,20,2013-01-01 08:00:00
"48",2013,1,1,821,820,1,1153,1129,24,"B6",181,"N521JB","JFK","SAN",354,2446,8,20,2013-01-01 08:00:00
"49",2013,1,1,821,825,-4,932,945,-13,"MQ",4418,"N846MQ","JFK","DCA",52,213,8,25,2013-01-01 08:00:00
"50",2013,1,1,823,825,-2,1019,1024,-5,"US",487,"N655AW","JFK","CLT",96,541,8,25,2013-01-01 08:00:00
"51",2013,1,1,825,827,-2,1058,1105,-7,"B6",611,"N292JB","JFK","JAX",130,828,8,27,2013-01-01 08:00:00
"52",2013,1,1,826,715,71,1136,1045,51,"AA",443,"N3GVAA","JFK","MIA",160,1089,7,15,2013-01-01 07:00:00
"53",2013,1,1,828,830,-2,1027,1012,15,"B6",905,"N274JB","JFK","ORD",160,740,8,30,2013-01-01 08:00:00
"54",2013,1,1,829,830,-1,1152,1200,-8,"UA",443,"N554UA","JFK","LAX",360,2475,8,30,2013-01-01 08:00:00
"55",2013,1,1,840,845,-5,1311,1350,-39,"AA",1357,"N5FSAA","JFK","SJU",188,1598,8,45,2013-01-01 08:00:00
"56",2013,1,1,840,845,-5,1053,1102,-9,"DL",2304,"N926DL","JFK","DTW",108,509,8,45,2013-01-01 08:00:00
"57",2013,1,1,848,1835,853,1001,1950,851,"MQ",3944,"N942MQ","JFK","BWI",41,184,18,35,2013-01-01 18:00:00
"58",2013,1,1,853,845,8,1147,1145,2,"B6",59,"N184JB","JFK","TPA",159,1005,8,45,2013-01-01 08:00:00
"59",2013,1,1,856,900,-4,1226,1220,6,"AA",1,"N324AA","JFK","LAX",358,2475,9,0,2013-01-01 09:00:00
"60",2013,1,1,857,900,-3,1516,1530,-14,"HA",51,"N380HA","JFK","HNL",659,4983,9,0,2013-01-01 09:00:00
"61",2013,1,1,859,900,-1,1223,1225,-2,"VX",407,"N846VA","JFK","LAX",359,2475,9,0,2013-01-01 09:00:00
"62",2013,1,1,905,905,0,1309,1229,40,"B6",1061,"N281JB","JFK","AUS",263,1521,9,5,2013-01-01 09:00:00
"63",2013,1,1,908,910,-2,1020,1027,-7,"B6",56,"N203JB","JFK","BTV",52,266,9,10,2013-01-01 09:00:00
"64",2013,1,1,909,810,59,1331,1315,16,"AA",655,"N5EXAA","JFK","STT",184,1623,8,10,2013-01-01 08:00:00
"65",2013,1,1,912,900,12,1241,1220,21,"AA",647,"N5CRAA","JFK","MIA",166,1089,9,0,2013-01-01 09:00:00
"66",2013,1,1,917,915,2,1206,1211,-5,"B6",41,"N568JB","JFK","MCO",145,944,9,15,2013-01-01 09:00:00
"67",2013,1,1,917,920,-3,1052,1108,-16,"B6",1103,"N216JB","JFK","RDU",80,427,9,20,2013-01-01 09:00:00
"68",2013,1,1,920,905,15,1039,1025,14,"B6",1305,"N346JB","JFK","IAD",52,228,9,5,2013-01-01 09:00:00
"69",2013,1,1,921,900,21,1237,1227,10,"DL",120,"N713TW","JFK","LAX",333,2475,9,0,2013-01-01 09:00:00
"70",2013,1,1,923,919,4,1026,1030,-4,"B6",1004,"N580JB","JFK","BOS",38,187,9,19,2013-01-01 09:00:00
"71",2013,1,1,926,922,4,1221,1219,2,"B6",57,"N534JB","JFK","PBI",151,1028,9,22,2013-01-01 09:00:00
