"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,1,533,529,4,850,830,20,"UA",1714,"N24211","LGA","IAH",227,1416,5,29,2013-01-01 05:00:00
"2",2013,1,1,554,600,-6,812,837,-25,"DL",461,"N668DN","LGA","ATL",116,762,6,0,2013-01-01 06:00:00
"3",2013,1,1,557,600,-3,709,723,-14,"EV",5708,"N829AS","LGA","IAD",53,229,6,0,2013-01-01 06:00:00
"4",2013,1,1,558,600,-2,753,745,8,"AA",301,"N3ALAA","LGA","ORD",138,733,6,0,2013-01-01 06:00:00
"5",2013,1,1,559,600,-1,941,910,31,"AA",707,"N3DUAA","LGA","DFW",257,1389,6,0,2013-01-01 06:00:00
"6",2013,1,1,600,600,0,851,858,-7,"B6",371,"N595JB","LGA","FLL",152,1076,6,0,2013-01-01 06:00:00
"7",2013,1,1,600,600,0,837,825,12,"MQ",4650,"N542MQ","LGA","ATL",134,762,6,0,2013-01-01 06:00:00
"8",2013,1,1,602,610,-8,812,820,-8,"DL",1919,"N971DL","LGA","MSP",170,1020,6,10,2013-01-01 06:00:00
"9",2013,1,1,602,605,-3,821,805,16,"MQ",4401,"N730MQ","LGA","DTW",105,502,6,5,2013-01-01 06:00:00
"10",2013,1,1,623,610,13,920,915,5,"AA",1837,"N3EMAA","LGA","MIA",153,1096,6,10,2013-01-01 06:00:00
"11",2013,1,1,623,627,-4,933,932,1,"UA",496,"N459UA","LGA","IAH",229,1416,6,27,2013-01-01 06:00:00
"12",2013,1,1,624,630,-6,840,830,10,"MQ",4599,"N518MQ","LGA","MSP",166,1020,6,30,2013-01-01 06:00:00
"13",2013,1,1,629,630,-1,824,810,14,"AA",303,"N3CYAA","LGA","ORD",140,733,6,30,2013-01-01 06:00:00
"14",2013,1,1,629,630,-1,721,740,-19,"WN",4646,"N273WN","LGA","BWI",40,185,6,30,2013-01-01 06:00:00
"15",2013,1,1,635,635,0,1028,940,48,"AA",711,"N3GKAA","LGA","DFW",248,1389,6,35,2013-01-01 06:00:00
"16",2013,1,1,637,645,-8,930,935,-5,"B6",389,"N709JB","LGA","MCO",144,950,6,45,2013-01-01 06:00:00
"17",2013,1,1,646,645,1,910,916,-6,"UA",883,"N569UA","LGA","DEN",243,1620,6,45,2013-01-01 06:00:00
"18",2013,1,1,653,700,-7,936,1009,-33,"DL",1383,"N327NW","LGA","PBI",149,1035,7,0,2013-01-01 07:00:00
"19",2013,1,1,655,700,-5,1002,1020,-18,"DL",2003,"N997DL","LGA","MIA",161,1096,7,0,2013-01-01 07:00:00
"20",2013,1,1,656,700,-4,854,850,4,"AA",305,"N4WNAA","LGA","ORD",143,733,7,0,2013-01-01 07:00:00
"21",2013,1,1,656,705,-9,1007,940,27,"MQ",4534,"N722MQ","LGA","XNA",233,1147,7,5,2013-01-01 07:00:00
