year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,517,515,2,830,819,11,UA,1545,N14228,EWR,IAH,227,1400,5,15,2013-01-01T10:00:00Z
2013,1,1,554,558,-4,740,728,12,UA,1696,N39463,EWR,ORD,150,719,5,58,2013-01-01T10:00:00Z
2013,1,1,555,600,-5,913,854,19,B6,507,N516JB,EWR,FLL,158,1065,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,923,937,-14,UA,1124,N53441,EWR,SFO,361,2565,6,0,2013-01-01T11:00:00Z
2013,1,1,559,600,-1,854,902,-8,UA,1187,N76515,EWR,LAS,337,2227,6,0,2013-01-01T11:00:00Z
2013,1,1,601,600,1,844,850,-6,B6,343,N644JB,EWR,PBI,147,1023,6,0,2013-01-01T11:00:00Z
2013,1,1,606,610,-4,858,910,-12,AA,1895,N633AA,EWR,MIA,152,1085,6,10,2013-01-01T11:00:00Z
2013,1,1,607,607,0,858,915,-17,UA,1077,N53442,EWR,MIA,157,1085,6,7,2013-01-01T11:00:00Z
2013,1,1,608,600,8,807,735,32,MQ,3768,N9EAMQ,EWR,ORD,139,719,6,0,2013-01-01T11:00:00Z
2013,1,1,615,615,0,833,842,-9,DL,575,N326NB,EWR,ATL,120,746,6,15,2013-01-01T11:00:00Z
2013,1,1,622,630,-8,1017,1014,3,US,245,N807AW,EWR,PHX,342,2133,6,30,2013-01-01T11:00:00Z
2013,1,1,624,630,-6,909,840,29,EV,4626,N11107,EWR,MSP,190,1008,6,30,2013-01-01T11:00:00Z
2013,1,1,628,630,-2,1016,947,29,UA,1665,N33289,EWR,LAX,366,2454,6,30,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,824,833,-9,US,1019,N426US,EWR,CLT,91,529,6,30,2013-01-01T11:00:00Z
2013,1,1,632,608,24,740,728,12,EV,4144,N13553,EWR,IAD,52,212,6,8,2013-01-01T11:00:00Z
