year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,533,529,4,850,830,20,UA,1714,N24211,LGA,IAH,227,1416,5,29,2013-01-01T10:00:00Z
2013,1,1,554,600,-6,812,837,-25,DL,461,N668DN,LGA,ATL,116,762,6,0,2013-01-01T11:00:00Z
2013,1,1,557,600,-3,709,723,-14,EV,5708,N829AS,LGA,IAD,53,229,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,753,745,8,AA,301,N3ALAA,LGA,ORD,138,733,6,0,2013-01-01T11:00:00Z
2013,1,1,559,600,-1,941,910,31,AA,707,N3DUAA,LGA,DFW,257,1389,6,0,2013-01-01T11:00:00Z
2013,1,1,600,600,0,851,858,-7,B6,371,N595JB,LGA,FLL,152,1076,6,0,2013-01-01T11:00:00Z
2013,1,1,600,600,0,837,825,12,MQ,4650,N542MQ,LGA,ATL,134,762,6,0,2013-01-01T11:00:00Z
2013,1,1,602,610,-8,812,820,-8,DL,1919,N971DL,LGA,MSP,170,1020,6,10,2013-01-01T11:00:00Z
2013,1,1,602,605,-3,821,805,16,MQ,4401,N730MQ,LGA,DTW,105,502,6,5,2013-01-01T11:00:00Z
2013,1,1,623,610,13,920,915,5,AA,1837,N3EMAA,LGA,MIA,153,1096,6,10,2013-01-01T11:00:00Z
2013,1,1,623,627,-4,933,932,1,UA,496,N459UA,LGA,IAH,229,1416,6,27,2013-01-01T11:00:00Z
2013,1,1,624,630,-6,840,830,10,MQ,4599,N518MQ,LGA,MSP,166,1020,6,30,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,824,810,14,AA,303,N3CYAA,LGA,ORD,140,733,6,30,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,721,740,-19,WN,4646,N273WN,LGA,BWI,40,185,6,30,2013-01-01T11:00:00Z
2013,1,1,635,635,0,1028,940,48,AA,711,N3GKAA,LGA,DFW,248,1389,6,35,2013-01-01T11:00:00Z
2013,1,1,637,645,-8,930,935,-5,B6,389,N709JB,LGA,MCO,144,950,6,45,2013-01-01T11:00:00Z
2013,1,1,646,645,1,910,916,-6,UA,883,N569UA,LGA,DEN,243,1620,6,45,2013-01-01T11:00:00Z
2013,1,1,653,700,-7,936,1009,-33,DL,1383,N327NW,LGA,PBI,149,1035,7,0,2013-01-01T12:00:00Z
2013,1,1,655,700,-5,1002,1020,-18,DL,2003,N997DL,LGA,MIA,161,1096,7,0,2013-01-01T12:00:00Z
2013,1,1,656,700,-4,854,850,4,AA,305,N4WNAA,LGA,ORD,143,733,7,0,2013-01-01T12:00:00Z
2013,1,1,656,705,-9,1007,940,27,MQ,4534,N722MQ,LGA,XNA,233,1147,7,5,2013-01-01T12:00:00Z
2013,1,1,657,700,-3,959,1013,-14,DL,1879,N318NB,LGA,FLL,164,1076,7,0,2013-01-01T12:00:00Z
2013,1,1,658,700,-2,944,939,5,DL,1547,N6703D,LGA,ATL,126,762,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1015,-7,AA,2279,N3EKAA,LGA,MIA,159,1096,7,0,2013-01-01T12:00:00Z
2013,1,1,659,705,-6,907,913,-6,DL,831,N998DL,LGA,DTW,105,502,7,5,2013-01-01T12:00:00Z
2013,1,1,709,700,9,852,832,20,UA,1092,N26226,LGA,ORD,135,733,7,0,2013-01-01T12:00:00Z
2013,1,1,717,720,-3,850,840,10,FL,850,N978AT,LGA,MKE,134,738,7,20,2013-01-01T12:00:00Z
2013,1,1,724,730,-6,1111,1040,31,AA,715,N541AA,LGA,DFW,254,1389,7,30,2013-01-01T12:00:00Z
2013,1,1,728,732,-4,1041,1038,3,UA,473,N488UA,LGA,IAH,238,1416,7,32,2013-01-01T12:00:00Z
2013,1,1,732,729,3,1041,1039,2,B6,1601,N563JB,LGA,RSW,167,1080,7,29,2013-01-01T12:00:00Z
2013,1,1,739,745,-6,918,930,-12,AA,309,N4WPAA,LGA,ORD,137,733,7,45,2013-01-01T12:00:00Z
